,tradeDate,closeIndex,turnoverValue
634,2007-08-17,4626.58,1.11565219727e+11
635,2007-08-20,4885.43,1.1925934649e+11
636,2007-08-21,4972.71,1.32902401512e+11
637,2007-08-22,5051.69,1.3872227601e+11
638,2007-08-23,5135.93,1.30873214318e+11
639,2007-08-24,5217.58,1.34546099482e+11
640,2007-08-27,5243.15,1.49375480466e+11
641,2007-08-28,5251.77,1.40419665162e+11
642,2007-08-29,5171.82,1.38983549273e+11
643,2007-08-30,5241.23,1.2382018145e+11
644,2007-08-31,5296.81,1.22862402252e+11
645,2007-09-03,5419.17,1.49612423441e+11
646,2007-09-04,5360.33,1.47686666917e+11
647,2007-09-05,5363.25,1.22740698495e+11
648,2007-09-06,5412.04,1.28581017849e+11
649,2007-09-07,5294.8,1.45930428783e+11
650,2007-09-10,5377.22,1.16768981158e+11
651,2007-09-11,5124.09,1.2724965411e+11
652,2007-09-12,5202.86,1.13773908567e+11
653,2007-09-13,5349.97,1.18934715196e+11
654,2007-09-14,5397.28,1.1873915822e+11
655,2007-09-17,5498.91,1.3140229681e+11
656,2007-09-18,5476.84,1.40263032451e+11
